date,open,high,low,close
2021-03-24T00:00:00,1170,1180,1170,1180
2021-03-25T00:00:00,1180,1180,1150,1150
2021-03-26T00:00:00,1130,1130,1130,1130
2021-03-29T00:00:00,1130,1130,1122.5,1122.5
2021-03-30T00:00:00,1130,1130,1070,1070
2021-03-31T00:00:00,1130,1130,1090,1090
2021-04-01T00:00:00,1115,1115,1095,1095
2021-04-06T00:00:00,1115,1115,1107.5,1107.5
2021-04-07T00:00:00,1120,1120,1100,1100
2021-04-08T00:00:00,890,1110,890,1110
2021-04-09T00:00:00,1130,1130,1130,1130
2021-04-12T00:00:00,1055,1110,1055,1110
2021-04-13T00:00:00,1180,1180,1180,1180
2021-04-14T00:00:00,1155,1180,1155,1180
2021-04-15T00:00:00,1170,1170,1170,1170
2021-04-16T00:00:00,1135,1185,1135,1185
2021-04-19T00:00:00,1185,1185,1185,1185
2021-04-20T00:00:00,1160,1170,1160,1170
2021-04-21T00:00:00,1210,1210,1200,1200
2021-04-22T00:00:00,1300,1300,1240,1240
2021-04-23T00:00:00,1340,1340,1340,1340
2021-04-26T00:00:00,1220,1220,1220,1220
2021-04-27T00:00:00,1275,1275,1260,1260
2021-04-28T00:00:00,1340,1340,1245,1245
2021-04-29T00:00:00,1355,1355,1250,1250
2021-04-30T00:00:00,1225,1350,1225,1350
2021-05-03T00:00:00,1270,1270,1245,1245
2021-05-04T00:00:00,1240,1245,1240,1245
2021-05-05T00:00:00,1245,1245,1245,1245
2021-05-06T00:00:00,1275,1280,1275,1280
2021-05-07T00:00:00,1345,1345,1310,1310
2021-05-10T00:00:00,1250,1290,1250,1290
2021-05-11T00:00:00,1300,1300,1275,1275
2021-05-12T00:00:00,1310,1310,1310,1310
2021-05-14T00:00:00,1315,1315,1300,1300
2021-05-17T00:00:00,1310,1310,1300,1300
2021-05-18T00:00:00,1315,1315,1300,1300
2021-05-19T00:00:00,1350,1350,1290,1290
2021-05-20T00:00:00,1260,1260,1250,1250
2021-05-21T00:00:00,1240,1240,1240,1240
2021-05-24T00:00:00,1095,1095,1095,1095
2021-05-25T00:00:00,1235,1235,1232.5,1232.5
2021-05-26T00:00:00,1220,1220,1210,1210
2021-05-27T00:00:00,1185,1185,1180,1180
2021-05-28T00:00:00,1115,1165,1115,1165
2021-05-31T00:00:00,1155,1235,1155,1235
2021-06-01T00:00:00,1130,1130,1130,1130
2021-06-02T00:00:00,1195,1195,1180,1180
2021-06-03T00:00:00,1185,1185,1170,1170
2021-06-04T00:00:00,1175,1175,1175,1175
2021-06-07T00:00:00,1200,1200,1200,1200
2021-06-08T00:00:00,1165,1170,1165,1170
2021-06-09T00:00:00,1140,1140,1140,1140
2021-06-10T00:00:00,1140,1160,1140,1160
2021-06-11T00:00:00,1050,1050,1020,1020
2021-06-14T00:00:00,975,1040,975,1040
2021-06-15T00:00:00,1035,1035,1030,1030
2021-06-16T00:00:00,1015,1015,975,975
2021-06-17T00:00:00,985,1002.5,985,1002.5
2021-06-18T00:00:00,965,1020,965,1020
2021-06-21T00:00:00,1020,1020,1015,1015
2021-06-22T00:00:00,1010,1010,1010,1010
2021-06-23T00:00:00,1030,1030,1015,1015
2021-06-24T00:00:00,1017.5,1017.5,995,995
2021-06-25T00:00:00,1020,1020,990,990
2021-06-28T00:00:00,1030,1030,1010,1010
2021-06-29T00:00:00,1065,1065,1040,1040
2021-06-30T00:00:00,1050,1050,1030,1030
2021-07-01T00:00:00,1060,1060,1060,1060
2021-07-02T00:00:00,1090,1090,1077.5,1077.5
2021-07-05T00:00:00,1115,1115,1115,1115
2021-07-06T00:00:00,1113,1113,1095,1095
2021-07-07T00:00:00,1105,1105,1085,1085
2021-07-08T00:00:00,1030,1030,1030,1030
2021-07-09T00:00:00,1115,1115,1115,1115
2021-07-12T00:00:00,1130,1130,1130,1130
2021-07-13T00:00:00,1095,1185,1095,1185
2021-07-14T00:00:00,1115,1210,1115,1210
2021-07-15T00:00:00,1225,1225,1225,1225
2021-07-16T00:00:00,1145,1220,1145,1220
2021-07-19T00:00:00,1110,1220,1110,1220
2021-07-20T00:00:00,1135,1230,1135,1230
2021-07-21T00:00:00,1145,1210,1145,1210
2021-07-22T00:00:00,1220,1220,1220,1220
2021-07-23T00:00:00,1270,1270,1270,1270
2021-07-26T00:00:00,1205,1270,1205,1270
2021-07-27T00:00:00,1235,1255,1235,1255
2021-07-28T00:00:00,1265,1265,1240,1240
2021-07-29T00:00:00,1285,1285,1235,1235
2021-07-30T00:00:00,1225,1275,1225,1275
2021-08-02T00:00:00,1170,1197.5,1170,1197.5
